time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-03-01 04:00:00,43.4694825,79.71666666666667,1021.0,0.0,1.237083333333333,11.4475,0.8175833333333333,0.5888333333333333,0,2,4,3,43.950838,
2017-03-01 05:00:00,43.601238,80.95,1021.9166666666666,0.0,1.14,11.438333333333333,0.6079166666666667,0.3407499999999999,0,2,5,3,43.4694825,
2017-03-01 06:00:00,50.4051095,81.53333333333333,1022.0,0.0,0.9553333333333334,11.4675,0.2935,0.2254166666666666,0,2,6,3,43.601238,
2017-03-01 07:00:00,84.5361205,80.95,1022.0,0.0,10.5665,11.588333333333331,0.0,0.0,0,2,7,3,50.4051095,
2017-03-01 08:00:00,112.4420665,78.20833333333333,1022.8333333333334,0.0,75.25916666666667,12.111666666666666,1.0063333333333333,0.6429166666666667,0,2,8,3,84.5361205,
2017-03-01 09:00:00,131.984488,77.11666666666666,1023.0,0.0,162.93333333333334,12.696666666666667,1.174,0.7546666666666667,0,2,9,3,112.4420665,
2017-03-01 10:00:00,231.8955795,73.46333333333332,1023.0,0.0,259.1,13.375833333333333,2.1174166666666667,1.4588333333333334,0,2,10,3,131.984488,
2017-03-01 11:00:00,209.888915,68.27166666666666,1023.0,0.0,114.59833333333334,13.3875,2.09625,1.3278333333333334,0,2,11,3,231.8955795,
2017-03-01 12:00:00,217.8652575,63.619166666666665,1023.0,0.0,204.25,13.678333333333333,2.327083333333333,1.5006666666666666,0,2,12,3,209.888915,
2017-03-01 13:00:00,216.987543,63.17333333333334,1022.1666666666666,0.0,243.95,13.459166666666668,3.10275,2.4371666666666667,0,2,13,3,217.8652575,
2017-03-01 14:00:00,214.077123,63.8175,1022.0,0.0,203.38333333333333,13.431666666666668,3.060916666666667,2.2485833333333334,0,2,14,3,216.987543,
2017-03-01 15:00:00,211.1507525,66.1475,1022.0,0.0,111.69166666666666,13.424166666666666,3.50125,2.936916666666667,0,2,15,3,214.077123,
2017-03-01 16:00:00,215.8939505,66.42583333333333,1022.0,0.0,86.08083333333333,13.315833333333332,3.4175,2.7095,0,2,16,3,211.1507525,
2017-03-01 17:00:00,163.5977235,67.6475,1022.0,0.0,29.585000000000004,13.115,3.6689166666666666,3.1324166666666664,0,2,17,3,215.8939505,
2017-03-01 18:00:00,141.091131,69.76416666666667,1022.0,0.0,3.0820833333333333,12.946666666666667,2.7465,2.1121666666666665,0,2,18,3,163.5977235,
2017-03-01 19:00:00,106.30899,70.40583333333333,1022.0,0.0,0.8860833333333332,12.949166666666663,3.04,2.54375,0,2,19,3,141.091131,
2017-03-01 20:00:00,87.240058,74.21666666666667,1022.8333333333334,0.0,0.94825,12.67,2.3061666666666665,1.8885833333333333,0,2,20,3,106.30899,
2017-03-01 21:00:00,61.53834,74.175,1023.0,0.0,1.0779166666666666,12.5425,1.6143333333333334,1.2003333333333333,0,2,21,3,87.240058,
2017-03-01 22:00:00,51.701907,75.45,1023.0,0.0,1.1676666666666666,12.281666666666666,1.6560833333333331,1.2545,0,2,22,3,61.53834,
2017-03-01 23:00:00,48.4980415,77.79166666666667,1023.0,0.0,1.1446666666666667,11.950833333333334,1.7399166666666666,1.4220833333333334,0,2,23,3,51.701907,
